"batch_size","best_epoch","bidirectional","dropout","dropout_lstm","english_lstm","epochs","german_lstm","layers","learning_rate","val_mae","val_mean_squared_error","val_pearsonr","val_rmse"
"256","11","True","0.42","0.17","32","500","64","[32]","0.000461","0.5122221112251282","0.7390007376670837","0.12776561081409454","0.859651505947113"
"512","11","False","0.38","0.08","64","500","128","[128, 512, 256, 64]","0.000874","0.5307436585426331","0.7312855124473572","0.1448286473751068","0.8551523089408875"
"32","14","True","0.21","0.3","64","500","64","[64]","4.4e-05","0.5330021977424622","0.7316120862960815","0.10979586094617844","0.8553432822227478"
"512","25","False","0.26","0.21","512","500","256","[32, 256, 512, 64]","0.000552","0.51584792137146","0.7468145489692688","0.08472149074077606","0.8641843199729919"
"128","20","False","0.46","0.39","256","500","256","[128, 512, 32, 64]","0.000765","0.5202726125717163","0.7465429902076721","0.00876140221953392","0.864027202129364"
"64","4","False","0.08","0.0","64","500","128","[128, 32]","0.0005369999999999999","0.5073016285896301","0.7320348024368286","0.16221030056476593","0.8555903434753418"
"256","7","True","0.21","0.37","512","500","64","[512, 32]","0.00010999999999999999","0.5396361947059631","0.7304357886314392","0.15556997060775757","0.854655385017395"
"512","7","True","0.1","0.09","128","500","64","[32, 256]","0.0005239999999999999","0.5564484596252441","0.735154926776886","0.15671494603157043","0.8574117422103882"
"64","16","False","0.22","0.18","512","500","64","[128, 32, 512]","0.000673","0.5091898441314697","0.7542213201522827","0.11184190213680267","0.868459165096283"
"512","11","False","0.2","0.06","256","500","128","[32]","0.000986","0.5311259627342224","0.7447578310966492","0.10077262669801712","0.8629935383796692"
"256","4","True","0.06","0.24","64","500","64","[256, 512]","0.000563","0.5210903286933899","0.7415649890899658","0.12409192323684692","0.8611416816711426"
"64","8","True","0.44","0.37","64","500","64","[32, 256, 128]","0.00035299999999999996","0.5276544094085693","0.7282746434211731","0.17069415748119354","0.853390097618103"
"32","4","True","0.15","0.34","128","500","512","[64, 128, 512, 256]","0.000481","0.5151002407073975","0.7307825088500977","0.1413261443376541","0.8548581600189209"
"64","4","True","0.14","0.13","256","500","128","[64, 512, 32, 128]","0.000888","0.5089854001998901","0.7363412976264954","0.1409955471754074","0.858103334903717"
"512","10","True","0.46","0.17","32","500","128","[64, 512, 256]","0.0005149999999999999","0.5472972393035889","0.7339451909065247","0.13938060402870178","0.8567060232162476"
"64","18","True","0.26","0.18","32","500","128","[32, 128, 256, 64]","0.0009549999999999999","0.5289857387542725","0.7526246905326843","0.09058614820241928","0.8675394654273987"
"128","9","True","0.33","0.16","512","500","32","[512, 256, 32]","0.0008939999999999999","0.5204300880432129","0.731903076171875","0.15491512417793274","0.855513334274292"
"128","9","True","0.28","0.08","256","500","128","[32, 512, 64]","0.000396","0.523588240146637","0.7315223813056946","0.1797867715358734","0.8552908301353455"
"64","15","False","0.18","0.48","512","500","64","[32, 512, 64]","0.000909","0.5241199135780334","0.7327576279640198","0.13447964191436768","0.8560126423835754"
"512","15","False","0.25","0.36","32","500","64","[128, 32]","0.0009639999999999999","0.5536911487579346","0.7397029399871826","0.14820098876953125","0.8600598573684692"
"32","14","False","0.06","0.12","128","500","256","[32, 64, 256]","0.00052","0.5257469415664673","0.7358176708221436","0.11183125525712967","0.857798159122467"
"32","23","False","0.26","0.46","512","500","32","[32, 64]","0.000111","0.5073609352111816","0.7467093467712402","0.14557750523090363","0.8641234636306763"
"256","25","False","0.47000000000000003","0.12","256","500","512","[512, 32, 256]","0.000452","0.5082442164421082","0.7402603626251221","0.11674976348876953","0.8603838682174683"
"256","14","True","0.4","0.04","128","500","512","[64, 32]","0.00046699999999999997","0.5233995318412781","0.7465788722038269","0.07971172779798508","0.8640479445457458"
"256","7","True","0.16","0.3","64","500","128","[32, 64, 128]","0.000323","0.552326500415802","0.7335045337677002","0.15736384689807892","0.856448769569397"
"512","11","True","0.4","0.07","32","500","32","[128, 512, 32, 64]","0.0007559999999999999","0.5161224603652954","0.7304306626319885","0.15571632981300354","0.8546523451805115"
"64","19","True","0.39","0.31","64","500","64","[32]","5.3e-05","0.528668999671936","0.7297206521034241","0.1401612013578415","0.854236900806427"
"256","4","False","0.27","0.27","512","500","512","[256]","0.000739","0.5166535377502441","0.733218252658844","0.15743178129196167","0.8562816381454468"
"512","7","False","0.16","0.05","256","500","128","[32]","0.000276","0.5247483849525452","0.7278931736946106","0.1623733937740326","0.8531665802001953"
"256","13","True","0.29","0.32","32","500","32","[32]","0.000326","0.5277664661407471","0.7302187085151672","0.1481870412826538","0.8545283675193787"
"256","11","False","0.28","0.39","512","500","128","[512, 64, 128]","0.00017999999999999998","0.511042594909668","0.7363593578338623","0.15093068778514862","0.8581138253211975"
"256","7","False","0.19","0.39","256","500","64","[256, 512, 32, 64]","0.00035999999999999997","0.5328080058097839","0.7318919897079468","0.1502027064561844","0.8555068373680115"
"256","7","True","0.35000000000000003","0.49","256","500","256","[256, 64]","0.00017999999999999998","0.5430169105529785","0.726891040802002","0.17363667488098145","0.8525790572166443"
"256","6","False","0.39","0.04","64","500","64","[64]","0.000615","0.5324558615684509","0.733457624912262","0.15046121180057526","0.8564214110374451"
"32","3","True","0.07","0.12","64","500","64","[128, 256, 32]","0.000439","0.5169394612312317","0.7319614291191101","0.13090865314006805","0.8555474281311035"
"128","10","False","0.27","0.4","128","500","512","[512, 64, 32, 256]","0.000878","0.5330607295036316","0.7407048940658569","0.14276725053787231","0.86064213514328"
"512","4","True","0.08","0.46","256","500","64","[256, 32, 512]","0.000563","0.5052845478057861","0.7358511686325073","0.15857195854187012","0.8578176498413086"
"128","4","True","0.22","0.25","64","500","128","[32, 512]","0.000785","0.5093375444412231","0.7332521080970764","0.16215106844902039","0.8563014268875122"
"64","8","True","0.38","0.3","128","500","64","[32, 256, 128, 64]","0.00020999999999999998","0.5193749666213989","0.7331870794296265","0.15158213675022125","0.8562634587287903"
"32","9","True","0.01","0.11","64","500","512","[128, 64, 32, 256]","0.000603","0.5162479281425476","0.7252823114395142","0.1383419781923294","0.8516350984573364"
"128","13","False","0.43","0.08","256","500","128","[32, 128, 256]","0.000483","0.5224253535270691","0.7464527487754822","0.05021875351667404","0.8639749884605408"
"512","20","True","0.33","0.41000000000000003","128","500","128","[64, 256]","0.00010499999999999999","0.519414484500885","0.7305546998977661","0.14513584971427917","0.8547249436378479"
"32","3","True","0.07","0.36","64","500","32","[32, 256, 64]","0.000379","0.5354760885238647","0.7318661212921143","0.13050547242164612","0.8554917573928833"
"256","4","True","0.11","0.41000000000000003","32","500","128","[32, 256, 512, 64]","0.0009599999999999999","0.5016365647315979","0.7323700189590454","0.17671379446983337","0.8557862043380737"
"64","4","True","0.47000000000000003","0.25","128","500","64","[256, 64, 512]","0.0009209999999999999","0.5105754733085632","0.7357489466667175","0.13288614153862","0.857758104801178"
"32","7","True","0.25","0.31","128","500","64","[256, 64, 128, 32]","8.4e-05","0.5349165797233582","0.7262715101242065","0.17083872854709625","0.8522156476974487"
"64","8","False","0.13","0.4","256","500","128","[64, 256, 128, 512]","0.000547","0.5350253582000732","0.734578013420105","0.1499314308166504","0.8570752739906311"
"32","11","False","0.12","0.44","256","500","64","[128]","0.000203","0.5301715731620789","0.7339614629745483","0.14276203513145447","0.8567155003547668"
"64","5","True","0.01","0.13","32","500","32","[32, 256]","0.000846","0.5580745339393616","0.7590706944465637","0.1450657993555069","0.8712466359138489"
"64","11","False","0.0","0.34","32","500","64","[64, 128, 512]","0.000139","0.5329442024230957","0.7342913150787354","0.14417554438114166","0.8569080233573914"
"32","4","False","0.19","0.22","64","500","128","[512]","0.000144","0.5168992877006531","0.731297492980957","0.13833951950073242","0.855159342288971"
"256","5","False","0.12","0.26","256","500","32","[512, 64, 32, 256]","0.000783","0.5319694876670837","0.7380677461624146","0.11269766092300415","0.8591086864471436"
"256","4","True","0.18","0.39","64","500","128","[512]","0.00023999999999999998","0.5174384117126465","0.7360862493515015","0.13032662868499756","0.8579546809196472"
"512","14","False","0.38","0.15","256","500","32","[256]","3.7999999999999995e-05","0.53116774559021","0.732275128364563","0.1461264193058014","0.8557307720184326"
"32","9","False","0.36","0.25","256","500","512","[64, 32, 512, 128]","3.7e-05","0.5190151333808899","0.7301160097122192","0.14771528542041779","0.8544682860374451"
"64","52","True","0.48","0.48","64","500","512","[256, 128, 64, 32]","4.6e-05","0.5144253969192505","0.7333887219429016","0.15751905739307404","0.8563811779022217"
"32","5","True","0.35000000000000003","0.19","64","500","256","[256, 64, 128]","0.000356","0.5164458155632019","0.7337390780448914","0.14501427114009857","0.856585681438446"
"64","5","True","0.14","0.3","32","500","256","[64]","0.000263","0.5172440409660339","0.7358081340789795","0.1354179084300995","0.8577926158905029"
"128","8","True","0.19","0.2","512","500","32","[64, 32, 512]","0.000581","0.533802330493927","0.7368505001068115","0.13129746913909912","0.8583999872207642"
"32","12","False","0.24","0.32","32","500","64","[64, 32, 128, 512]","0.000743","0.5161224603652954","0.7349849343299866","0.15908776223659515","0.8573126196861267"
"32","9","False","0.05","0.43","32","500","64","[256, 512]","0.000122","0.5240939855575562","0.734151303768158","0.1381586641073227","0.8568263053894043"
"128","3","True","0.0","0.37","512","500","256","[256, 64, 128, 32]","0.00098","0.5134745836257935","0.7311984300613403","0.16074438393115997","0.8551014065742493"
"256","4","True","0.16","0.23","256","500","32","[64]","0.000544","0.49796062707901","0.7381730675697327","0.15855491161346436","0.8591699600219727"
"128","4","False","0.3","0.36","256","500","64","[512]","0.000384","0.514585554599762","0.7358237504959106","0.1365186870098114","0.8578016757965088"
"512","105","True","0.15","0.14","32","500","32","[256, 128, 32]","2.4999999999999998e-05","0.5290347337722778","0.7286800742149353","0.15425992012023926","0.853627622127533"
"64","12","True","0.44","0.16","512","500","64","[512, 32]","0.000701","0.5188356041908264","0.7418323159217834","0.10036428272724152","0.8612968921661377"
"512","10","True","0.48","0.26","32","500","128","[128, 256, 64]","0.0009699999999999999","0.5436568856239319","0.7350832223892212","0.1304720938205719","0.8573699593544006"
"256","18","True","0.41000000000000003","0.25","512","500","64","[128, 32]","0.000206","0.5237830877304077","0.7326629161834717","0.14523941278457642","0.8559573292732239"
"512","13","True","0.25","0.27","32","500","256","[32, 64, 512]","0.000203","0.523885190486908","0.7245693206787109","0.1718205213546753","0.8512163758277893"
"32","13","True","0.29","0.14","32","500","512","[512, 64, 128, 256]","5.6999999999999996e-05","0.5096560716629028","0.7284083962440491","0.15439938008785248","0.8534684777259827"
"128","4","False","0.01","0.21","256","500","64","[256, 512]","0.00039","0.5116804838180542","0.7349241971969604","0.13762526214122772","0.8572772145271301"
"32","15","False","0.12","0.36","32","500","64","[32, 128, 64, 256]","0.00061","0.5095317363739014","0.7410991191864014","0.1397915780544281","0.8608711361885071"
"64","4","True","0.39","0.29","32","500","512","[256, 32]","0.000283","0.5118422508239746","0.730400562286377","0.1616095006465912","0.8546347618103027"
"128","4","False","0.48","0.23","64","500","128","[256]","0.0005369999999999999","0.5191553831100464","0.7305761575698853","0.15974274277687073","0.8547374606132507"
"512","8","False","0.06","0.11","64","500","512","[64]","0.000993","0.5156563520431519","0.7347273230552673","0.14864416420459747","0.857162356376648"
"32","15","False","0.19","0.09","512","500","32","[256]","0.00011499999999999999","0.5324628949165344","0.7527180314064026","0.12294986099004745","0.8675932288169861"
"128","4","True","0.15","0.25","64","500","64","[64, 128]","0.000493","0.5165750980377197","0.7373436093330383","0.12540940940380096","0.858687162399292"
"32","4","True","0.13","0.1","512","500","128","[256, 64, 128]","0.000484","0.5157402753829956","0.7299729585647583","0.11815774440765381","0.8543845415115356"
"32","8","False","0.05","0.49","32","500","64","[256, 64, 32]","0.00027","0.5240111947059631","0.7284254431724548","0.1739947646856308","0.8534784317016602"
"512","13","True","0.37","0.27","64","500","32","[512]","0.000208","0.5279394388198853","0.7324557900428772","0.1381952166557312","0.8558363318443298"
"512","7","False","0.29","0.46","512","500","512","[64, 32, 512, 256]","0.0007509999999999999","0.5271996259689331","0.7430258989334106","0.06704800575971603","0.8619894981384277"
"32","5","True","0.43","0.3","64","500","256","[64, 512, 128]","0.000376","0.5193110108375549","0.7360512018203735","0.13110966980457306","0.8579342365264893"
"256","14","True","0.49","0.02","32","500","256","[128, 256]","0.00020899999999999998","0.5246273279190063","0.7320280075073242","0.14567440748214722","0.8555863499641418"
"128","6","True","0.0","0.35000000000000003","32","500","64","[32]","0.000206","0.5337017178535461","0.7317309975624084","0.1369468867778778","0.8554127812385559"
"32","4","True","0.4","0.32","256","500","64","[128]","0.000758","0.5205911993980408","0.7329732179641724","0.11876536160707474","0.8561385273933411"
"32","4","True","0.13","0.02","64","500","512","[128, 256, 64]","0.000668","0.5115402936935425","0.7337471842765808","0.12257298082113266","0.8565904498100281"
"512","12","False","0.38","0.34","256","500","64","[512, 128, 32]","0.0008669999999999999","0.5414816737174988","0.7511693835258484","0.08977630734443665","0.866700291633606"
"64","12","False","0.34","0.43","512","500","256","[256]","0.000526","0.5351570844650269","0.7669922113418579","0.018466798588633537","0.8757809400558472"
"256","4","True","0.36","0.03","256","500","128","[512, 64]","0.000575","0.5020763874053955","0.7343654632568359","0.17436659336090088","0.8569512367248535"
"64","13","False","0.38","0.16","128","500","512","[256, 128, 512, 32]","0.00057","0.522874653339386","0.7355186343193054","0.16225947439670563","0.857623815536499"
"256","8","False","0.38","0.3","128","500","32","[128, 256, 64, 512]","0.000612","0.5128893256187439","0.7427496910095215","0.16824494302272797","0.8618292808532715"
"32","3","True","0.17","0.4","32","500","128","[32]","0.000896","0.5332788228988647","0.7325789928436279","0.10812317579984665","0.8559082746505737"
"512","11","False","0.06","0.41000000000000003","512","500","128","[256, 32, 128, 512]","0.000232","0.532978355884552","0.7391224503517151","0.11255000531673431","0.8597223162651062"
"512","7","True","0.04","0.27","256","500","128","[128, 256]","0.000276","0.5650262236595154","0.7402680516242981","0.14903485774993896","0.8603883385658264"
"512","21","True","0.41000000000000003","0.21","32","500","64","[64, 32, 256, 512]","0.000317","0.5164011120796204","0.7274686098098755","0.16093575954437256","0.8529177308082581"
"256","12","False","0.16","0.33","512","500","64","[256, 64]","0.00039299999999999996","0.5241137742996216","0.7392661571502686","0.10703209042549133","0.8598058819770813"
"512","16","True","0.45","0.18","64","500","512","[64, 512, 256, 32]","0.00054","0.5222634077072144","0.7387356758117676","0.10399345308542252","0.8594973683357239"
"32","8","True","0.37","0.36","32","500","128","[32, 512, 128]","0.000967","0.5310649275779724","0.7376202344894409","0.12771503627300262","0.8588482141494751"
"128","8","False","0.31","0.19","128","500","256","[128]","0.000792","0.5337576270103455","0.7486029863357544","0.07220226526260376","0.865218460559845"
"512","6","False","0.48","0.08","256","500","128","[512]","0.000547","0.5148279070854187","0.7357490062713623","0.13976356387138367","0.857758104801178"
"32","14","False","0.29","0.43","128","500","256","[256, 32]","0.0009299999999999999","0.5172436237335205","0.7380609512329102","0.07643969357013702","0.8591047525405884"
"512","5","True","0.04","0.24","64","500","64","[256, 512]","0.000325","0.5497453212738037","0.7348724603652954","0.14336545765399933","0.857246994972229"
"512","5","False","0.45","0.05","64","500","512","[64]","0.000638","0.5441421270370483","0.7349444627761841","0.13399529457092285","0.8572890162467957"
"256","7","True","0.1","0.24","512","500","32","[64, 256, 128, 32]","0.00047","0.5045228600502014","0.7284538149833679","0.18766508996486664","0.8534950613975525"
"128","8","False","0.07","0.43","512","500","128","[128, 32, 64]","0.000834","0.5321062207221985","0.7347287535667419","0.132264643907547","0.8571631908416748"
"64","22","False","0.15","0.41000000000000003","32","500","128","[512, 128]","9.999999999999999e-06","0.5212100148200989","0.7323909997940063","0.13591769337654114","0.8557984828948975"
"128","4","True","0.41000000000000003","0.09","64","500","256","[256, 64]","0.000494","0.509157657623291","0.7361353635787964","0.14860770106315613","0.8579832911491394"
"512","9","True","0.24","0.49","512","500","32","[32, 256]","0.000815","0.5295246839523315","0.7417044639587402","0.14798694849014282","0.8612226843833923"
"128","2","True","0.11","0.44","64","500","512","[32, 256, 512]","0.0005819999999999999","0.5261630415916443","0.7323545217514038","0.1470954418182373","0.8557771444320679"
"128","9","False","0.38","0.11","512","500","128","[64, 256, 512]","0.000454","0.5594295859336853","0.7412005662918091","0.15068304538726807","0.8609300851821899"
"512","17","False","0.23","0.16","64","500","128","[64, 256, 512, 32]","0.00019999999999999998","0.5072951912879944","0.7311452031135559","0.1600915789604187","0.8550702929496765"
"256","16","False","0.33","0.42","32","500","512","[32, 256]","0.00045799999999999997","0.5482959151268005","0.7313026189804077","0.15762269496917725","0.8551623225212097"
"64","4","True","0.07","0.13","64","500","256","[256, 128]","0.00043599999999999997","0.5201493501663208","0.7359204888343811","0.13965027034282684","0.8578580617904663"
"64","12","False","0.32","0.45","32","500","128","[32]","0.000236","0.5291126370429993","0.7423936724662781","0.15141771733760834","0.86162269115448"
"256","9","True","0.32","0.37","512","500","64","[512, 64, 256, 128]","0.000397","0.5390383005142212","0.7451720833778381","0.1248297244310379","0.8632335066795349"
"64","6","True","0.35000000000000003","0.03","32","500","256","[32, 64, 512]","0.00040699999999999997","0.5197129845619202","0.7334412336349487","0.13679984211921692","0.8564118146896362"
"128","4","True","0.33","0.48","32","500","256","[64, 256, 512]","0.000962","0.52852863073349","0.7363929152488708","0.1338203400373459","0.8581333756446838"
"128","2","True","0.02","0.14","512","500","512","[128, 64, 256]","0.000594","0.5512377023696899","0.7343713045120239","0.16049295663833618","0.8569546937942505"
"128","8","True","0.39","0.12","64","500","32","[128, 512, 256, 32]","0.0007949999999999999","0.5384607911109924","0.7389577627182007","0.12567497789859772","0.8596265316009521"
"32","10","False","0.42","0.33","256","500","64","[512, 64, 32]","0.00022099999999999998","0.5277863144874573","0.7301838397979736","0.15952236950397491","0.8545079231262207"
"512","16","True","0.4","0.38","256","500","128","[256, 64, 512, 32]","0.00013","0.5172378420829773","0.7259854078292847","0.1782960295677185","0.8520478010177612"
"256","4","False","0.12","0.0","128","500","512","[128]","0.000525","0.5082155466079712","0.7375622391700745","0.13979323208332062","0.8588144183158875"
"64","4","True","0.26","0.11","128","500","256","[256, 128]","0.000901","0.5121390223503113","0.7378710508346558","0.14234936237335205","0.85899418592453"
"512","15","True","0.44","0.38","128","500","32","[64, 256, 128, 32]","0.000584","0.5228534936904907","0.7299515604972839","0.1544908881187439","0.8543720245361328"
"32","14","False","0.28","0.03","128","500","64","[128, 64, 512, 256]","0.000549","0.5136279463768005","0.7316324710845947","0.13844330608844757","0.8553551435470581"
"32","19","True","0.3","0.3","256","500","512","[32, 256]","0.00041299999999999996","0.5373451709747314","0.742668628692627","0.1166394054889679","0.8617822527885437"
"64","4","True","0.05","0.29","256","500","256","[512, 256, 64, 32]","0.000495","0.5121082067489624","0.7317299842834473","0.14962875843048096","0.8554121851921082"
"128","4","False","0.03","0.1","128","500","512","[128, 256, 64, 512]","0.00041299999999999996","0.5114502906799316","0.7334371209144592","0.15126261115074158","0.8564094305038452"
"32","12","False","0.25","0.09","64","500","512","[64, 128, 32]","0.00020099999999999998","0.5513148307800293","0.7424144744873047","0.13441909849643707","0.8616347908973694"
"64","4","False","0.04","0.48","128","500","128","[32]","0.000775","0.5152919292449951","0.732632577419281","0.15215840935707092","0.8559395670890808"
"64","3","True","0.15","0.0","32","500","64","[256]","0.000735","0.5244148373603821","0.7315105199813843","0.13917608559131622","0.8552838563919067"
"512","19","False","0.29","0.01","32","500","256","[512, 128, 32]","0.000446","0.52182537317276","0.7260563969612122","0.16883812844753265","0.8520894050598145"
"32","15","True","0.34","0.03","32","500","512","[64, 512, 32, 128]","8.7e-05","0.5151143670082092","0.7306638956069946","0.11448974162340164","0.8547887802124023"
"256","22","False","0.48","0.48","32","500","512","[64]","2.1e-05","0.5110928416252136","0.7339414358139038","0.14958137273788452","0.8567038178443909"
"64","4","True","0.48","0.22","512","500","128","[256, 512]","0.000305","0.5189293026924133","0.7295068502426147","0.15297400951385498","0.8541117310523987"
